Name,Link,Type,Program(s),List,Score,Aliases,Addresses,Country
SEGOVIA IMPORT & EXPORT CORP.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19161,Entity,SDNTK,SDN,,strong: SEGOVIA IMPORT AND EXPORT CORP., Panama,Panama
SENAT SHIPPING LIMITED,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18345,Entity,DPRK,SDN,,strong: SENAT SHIPPING AND TRADING PRIVATE LIMITED; strong: SENAT SHIPPING & TRADING PTE LTD; strong: SENAT SHIPPING AND TRADING LTD; strong: SENAT SHIPPING AGENCY LTD,"36-02 A, Singapore, 038989, Singapore; Suntec Tower, 9, Temasek Boulevard, 9 Temasek Boulevard, Singapore, 038989, Singapore; 36-02A, Panama City, Panama; PO Box 957, Virgin Islands, British; Offshore Incorporations Centre Road Town, Tortola",Panama
SERVICIO DE EQUIPO RODANTE INCORPORADO,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19179,Entity,SDNTK,SDN,,weak: SER INC.,"Calle 16 y Ave. Roosevelt Edif. Vida Panama, Colon, Panama; Zona Libre, P.O. Box No. 1578, Colon, Panama; Zona Libre,",Panama
"SERVINAVES, S.A.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=1888,Entity,CUBA,SDN,,, Panama,Panama
"GRUPO CIMA PANAMA, S.A.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19144,Entity,SDNTK,SDN,,,"Calle 15 Y Avenida Roosevelt, Colon Free Zone, Panama; PO Box 3294, Panama City, Panama",Panama
"SOHO DEVELOPERS, INC.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19151,Entity,SDNTK,SDN,,, Panama,Panama
"TECHNO ENERGY, S.A.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=27233,Entity,VENEZUELA-EO13850,SDN,,," Panama City, Panama",Panama
TOVASE DEVELOPMENT CORP,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=27428,Entity,VENEZUELA-EO13850,SDN,,," Panama City, Panama",Panama
QUALITY AUTOS S.A.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=17253,Entity,SDNTK,SDN,,," Panama City, Panama",Panama
TROCANA WORLD INC.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=27429,Entity,VENEZUELA-EO13850,SDN,,," Panama City, Panama",Panama
"TROLL PROPERTIES, INC.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19187,Entity,SDNTK,SDN,,, Panama,Panama
"TROBER, S.A.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=2109,Entity,CUBA,SDN,,"strong: TROVER, S.A.","Edificio Saldivar, Panama City, Panama",Panama
VIC DEL INC. (OFF SHORE),https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23904,Entity,SDNTK,SDN,,,"Aquilino de la Guardia, PH Plaza Banco General, Piso 20, Panama, Panama; Of. 20A,",Panama
SEAFIRE FOUNDATION,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=27034,Entity,VENEZUELA-EO13850,SDN,,," Panama City, Panama",Panama
YAKIMA TRADING CORPORATION,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20253,Entity,SDNTK,SDN,,,"Ph Ocean Business Plaza (Torre Banesco) Plaza Marbella, Panama; Piso 24, Oficina 24-08, Calle Aquilino de la Guardia y Calle 47 (Zona Bancaria), Barbados",Panama
UNIREFRICLIMA S.A.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19940,Entity,SDNTK,SDN,,," Panama City, Panama",Panama
WINDHAM COMMERCIAL GROUP INC.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=26220,Entity,VENEZUELA-EO13850,SDN,,, Panama,Panama
"WESTLINE ENTERPRISES, INC.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19308,Entity,SDNTK,SDN,,, Panama,Panama
"XZACT, INC.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19155,Entity,SDNTK,SDN,,, Panama,Panama
"WAREHOUSE OUTLETS, S.A.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19186,Entity,SDNTK,SDN,,, Panama,Panama
WAKED MONEY LAUNDERING ORGANIZATION,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18939,Entity,SDNTK,SDN,,, Panama,Panama
"VISION 20-20, S.A.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19194,Entity,SDNTK,SDN,,, Panama,Panama
VIDA PANAMA (ZONA LIBRE) S.A.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18950,Entity,SDNTK,SDN,,,"Enrique A. Jimenez y Calle 16, Colon, Panama; Zona Libre de Colon,",Panama
WAYSIDE CORPORATION,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19182,Entity,SDNTK,SDN,,, Panama,Panama
ESPANA INFORMATICA S.A.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=28443,Entity,GLOMAG,SDN,,strong: ESPANA INFORMATICA SA," Ciudad del Este, Paraguay",Paraguay
APOLO INFORMATICA S.A.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=27944,Entity,GLOMAG,SDN,,strong: APOLO INFORMATICA; strong: APOLO INFORMATICA SOCIEDAD ANONIMA; strong: APOLO INFORMATICA SA," Ciudad del Este, Paraguay",Paraguay
CASA APOLLO,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=8266,Entity,SDGT,SDN,,,"Galeria Page, Ciudad del Este, Paraguay",Paraguay
CASA HAMZE,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=10046,Entity,SDGT,SDN,,,"Number 313, Fourth Floor, Galeria Page, Ciudad del Este, Paraguay; Regimiento Piribebuy Avenue,",Paraguay
DOMINICANA ACQUISITION S.A.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=40539,Entity,GLOMAG,SDN,,,"Calle 29 de Setiembre entre Nicolas Arguello y Rudy Torga Numero 1624, Lambare, Central, Paraguay",Paraguay
MOBILE ZONE INTERNATIONAL IMPORT-EXPORT S.R.L.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=28574,Entity,GLOMAG,SDN,,strong: MOBILE ZONE INTERNACIONAL IMPORT-EXPORT S.R.L.; strong: MOBILE ZONE INTERNACIONAL IMPORT. EXPORT. S.R.L.," Ciudad del Este, Paraguay",Paraguay
FRIGORIFICO CHAJHA S.A.E.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=40540,Entity,GLOMAG,SDN,,,"Carretera Ruta 9 Dr. Carlos Antonio Lopez, Km 26.5, Villa Hayes, Presidente Hayes, Paraguay",Paraguay
MUNDO INFORMATICO PARAGUAY S.A.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=27945,Entity,GLOMAG,SDN,,strong: MUNDO INFORMATICO PARAGUAY SOCIEDAD ANONIMA," Ciudad del Este, Paraguay",Paraguay
TABACALERA DEL ESTE S.A.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=41836,Entity,GLOMAG,SDN,,strong: TABESA,"Ybyra Pyta s/n Esquina Mandarinas, Hernandarias, 7220, Paraguay; Villa Conavi II, Calle Yvyra Pyta y Mandarinas, Ciudad Hernandarias, Alto Parana, Paraguay; Barrio Santa Teresa,",Paraguay
GALERIA PAGE,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=10052,Entity,SDGT,SDN,,strong: GALERIA PAGE I,"899 Calle Regimento Pirebebuy, Ciudad del Este, Paraguay",Paraguay
EMPRENDIMIENTOS INMOBILIARIOS MISIONES S.A.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=27943,Entity,GLOMAG,SDN,,strong: EMPRENDIMIENTOS INMOBILIARIOS MISIONES SOCIEDAD ANONIMA," Ciudad del Este, Paraguay",Paraguay
EMPRESA DE TRANSPORTES CHULUCANAS 2000 S.A.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11405,Entity,SDNTK,SDN,,,"Jr. Augusto Gonzales, Lima, Peru; Olaechea 1311, Urb. Elio",Peru
EMPRESA CUBANA DE AVIACION,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=735,Entity,CUBA,SDN,,strong: CUBANA AIRLINES,"32 Main Street, Georgetown, Guyana; 24 Rue Du Quatre Septembre, Paris, France; Belas Airport, Luanda, Angola; Dobrininskaya No. 7, Sec 5, Moscow, Russia; Corrientes 545 Primer Piso, Buenos Aires, Argentina; Frankfurter TOR 8-A, Berlin, Germany; 1 Place Ville Marie, Suite 3431, Montreal, Canada; Parizska 17, Prague, Czech Republic; Paseo de la Republica 126, Lima, Peru; Piarco Airport, Port au Prince, Haiti; c/o Anglo-Caribbean Shipping Co. Ltd., London, EC3N 1DY, United Kingdom; Ibex House, The Minories, Norman Manley International Airport, Kingston, Jamaica; Melchor Ocampo 469, 5DF, Mexico City, Mexico; Calle 29 y Avda Justo Arosemena, Panama City, Panama; Grantley Adams Airport, Christ Church, Barbados; Madrid, Spain",Peru
EDITORA TRANSPARENCIA S.A.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11409,Entity,SDNTK,SDN,,,"Jr. Bolognesi 125, Lima, Peru; Dpto. 301,",Peru
CORPORACION DE INVERSIONES EMPRESARIALES S.A.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11415,Entity,SDNTK,SDN,,,"Jr. Bolognesi 125, Lima, Peru; Oficina 1002,",Peru
CONTINENTE MOVIL Y SERVICIOS S.R.L.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11416,Entity,SDNTK,SDN,,,"Urb. Residencial Santa Rosa, Callao, Peru; MZ G Lt. 20,",Peru
AERO COURIER CARGO S.A.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11404,Entity,SDNTK,SDN,,,"Avenida Jose Pardo 601, Lima, Peru; Edificio La Alameda,",Peru
ASOCIACION CIVIL LOS PROMOTORES AERONAUTICOS,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11420,Entity,SDNTK,SDN,,,"Jr. Los Robles 152, Oficina 7, Lima, Peru; San Martin de Porres, URB Valdiviezo",Peru
EMPRESA EDITORA CONTINENTE PRESS S.A.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11424,Entity,SDNTK,SDN,,,"Avenida Javier Prado, Lima, Peru; Oeste 640,",Peru
AERO CONTINENTE S.A,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=8244,Entity,SDNTK,SDN,,strong: AEROCONTINENTE S.A.; strong: AERO CONTINENT S.A.; strong: NUEVO CONTINENTE S.A.; strong: NUEVOCONTINENTE S.A.; strong: WWW.AEROCONTINENTE.COM; strong: WWW.AEROCONTINENTE.COM.PE; strong: WWW.NUEVOCONTINENTE.COM.PE,"Jr. Francisco Bolognesi 125, Piso 16, Miraflores, Lima 18, Peru; Av. Grau 602 D, Barranco, Lima, Peru; Plaza Camacho TDA 3-C, La Molina, Lima, Peru; Av. Antunez de Mayolo 889, Los Olivos, Lima, Peru; Av. Pardo 605, Miraflores I-Pardo, Lima, Peru; Av. Camino Real 441, San Isidro, Lima, Peru; Av. Arequipa 326, Santa Beatriz, Lima, Peru; Av. Benavides 4581, Surco I, Lima, Peru; Av. Saenz Pena 184, Callao, Lima, Peru; Av. Rufino Torrico 981, Lima, Peru; Av. Enrique Llosa 395-A, Magdalena, Lima, Peru; Av. Larco 123-2 Do Piso, Miraflores II-Larco, Lima, Peru; Av. Peru 3421, San Martin de Porres, Lima, Peru; C.C. San Miguel Shopping Center, TDA. 50 - Av. La Mar 2291, San Miguel, Lima, Peru; Av. La Encalada 1587, (C.C. El Polo Block A Oficina 213), Surco II-C.C. El Polo, Lima, Peru; Av. Jose Pardo 601, Miraflores, Lima, Peru; Av. Peru 3421, San Martin, Lima, Peru; Av. Grau 624, Barranco, Lima, Peru; Av. La Marina 2095, San Miguel, Lima, Peru; Sta Catalina 105 A-B, Arequipa, Peru; Jr. 9 de Diciembre 160, Ayacucho, Peru; Jr. 2 de Mayo 381, Cajamarca, Peru; Calle San Jose 867-879, Chiclayo, Peru; Portal de Carnes 254, Cusco, Peru; Jr. Prospero 232, Iquitos, Peru; Calle San Roman 175, Juliaca, Peru; Jr. Libertad 945-951, Piura, Peru; Leon Velarde 584, Puerto Maldonado, Peru; Jr. 7 de Junio 861, Pucallpa, Peru; Alonso de Alvarado 726, Rioja, Peru; Calle Apurimac 265, Tacna, Peru; Jr. Moyobamba 101, Tarapoto, Peru; Jr. Pizarro 470, Trujillo, Peru; Av. Tumbes 217, Tumbes, Peru; Jr. Libertad 139, Yurimaguas, Peru; Av. Thames 2406 (CP 1425) C.F., Buenos Aires, Argentina; Av. Amazonas No. 22-11B Y Veintimilla-Quito, Quito, Ecuador; Avenida Portugal No. 20, Of. 27 - Comuna Santiago Centro, Santiago, Chile; Boyaca 1012 Y P. Icaza, Guayaquil, Ecuador; Av. 27 De Febrero No. 102, Edif Miguel Mejia Urr. El Vergel, Santo Domingo, Dominican Republic; 1ra Avenida de Los Palos Grandes, Caracas, Venezuela; Centro Comercial Quinora P.B., Locales L-1A y L-2A, Calle Rio Rhin No. 64, Mexico City D.F., 065000, Mexico; P.B. Col. Cuauhtemoc C.P., Av. Colon 119 Piso 3 Of. 6 (CP-X5000EPB), Cordoba, Argentina; Rivadavia 209 (CP-5500), Mendoza, Argentina; Sarmiento 854 Piso 8 Of. 3 y 4 (CP-S2000CMN), Rosario, Santa Fe, Argentina; Bogota, Colombia; 8940 NW 24 Terrace, Miami, FL, 33172, United States",Peru
AERO CONTINENTE E.I.R.L.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11422,Entity,SDNTK,SDN,,,"Avenida Jose Pardo 601, Lima, Peru; Int. 16,",Peru
OCEAN MARITIME MANAGEMENT COMPANY LIMITED,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=17068,Entity,DPRK,SDN,,strong: EAST SEA SHIPPING COMPANY; strong: KOREA MIRAE SHIPPING CO. LTD.; strong: HAEYANG CREW MANAGEMENT COMPANY,"Dongheung-dong Changgwang Street, Pyongyang, Korea, North; Chung-ku, PO Box 125, Donghung Dong, Pyongyang, Korea, North; Central District, PO Box 120, No. 10, 10th Floor, Unit 1, Dalian City, Liaoning Province, China; Wu Wu Lu 32-1, Zhong Shan Qu, 22 Jin Cheng Jie, Dalian City, Liaoning Province, China; Zhong Shan Qu, 43-39 Lugovaya, Vladivostok, Russia; CPO Box 120, Pyongyang, Korea, North; Tonghung-dong, Chung-gu, Bangkok, Thailand; Lima, Peru; Port Said, Egypt; Singapore; Brazil; Hong Kong, China; Shenzhen, China",Peru
AVIANDINA S.A.C.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=8245,Entity,SDNTK,SDN,,,"Avenida Jose Pardo 601, Lima, Peru",Peru
LUCERO IMPORT S.A.C.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11412,Entity,SDNTK,SDN,,,"Calle Soledad 113, Lima, Peru; Interior 301,",Peru
LASA PERU S.A.C.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11423,Entity,SDNTK,SDN,,,"Jr. Emilio Althaus 748, Lima, Peru; Int. 3,",Peru
ORIENTE CONTRATISTAS GENERALES S.A.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11410,Entity,SDNTK,SDN,,,"Jr. San Martin 707, Trujillo, Peru; Int. 201,",Peru
ORIENTE TOURS S.R.L.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11414,Entity,SDNTK,SDN,,,"Jr. Soledad 113, Lima, Peru; Oficina 302,",Peru
PERU GLOBAL TOURS S.A.C.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11419,Entity,SDNTK,SDN,,,"Calle Soledad 113, Lima, Peru; Oficina 301,",Peru
PERU TOTAL MARKET E.I.R.L.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11411,Entity,SDNTK,SDN,,,"Jr. Washington 1214, Lima, Peru",Peru
REPRESENTACIONES ORIENTE S.R.L.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11413,Entity,SDNTK,SDN,,,"Urb. La Arboleda, Trujillo, Peru; Mz. F Int. 10,",Peru
TALLER DE REPARACIONES DE AERODINOS SUS PARTES Y SERVICIOS AEREOS S.A.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11417,Entity,SDNTK,SDN,,strong: TRAPSA,"Avenida Aviacion 650, Tarapoto, San Martin, Peru",Peru
PERUVIAN PRECIOUS METALS S.A.C.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11406,Entity,SDNTK,SDN,,,"Jr. Comunidad Industrial 293, Lima, Peru; Chorillos,",Peru
TRANSPORTES AEREOS UNIDOS SELVA AMAZONICA S.A.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11418,Entity,SDNTK,SDN,,strong: TAUSA S.A.; strong: TRANSPORTES AEREAS UCHIZA S.A.,"Calle Soledad 111, Lima, Peru; Int. 302,",Peru
URANTIA SERVICES S.A.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11408,Entity,SDNTK,SDN,,,"Avenida Jose Pardo 601, Lima, Peru",Peru
VUELA PERU S.A.C.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11421,Entity,SDNTK,SDN,,,"Avenida Bolognesi 125, Lima, Peru; Dpto. 1602,",Peru
SERVICIOS SILSA S.A.C.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11407,Entity,SDNTK,SDN,,,"Jr. Huantar 278, Lima, Peru",Peru
"SISTEMA DE DISTRIBUCION MUNDIAL, S.A.C.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=8250,Entity,SDNTK,SDN,,strong: WORLD DISTRIBUTION SYSTEM,"Avenida Jose Pardo No. 601, Piso 11, Lima, Peru",Peru
NPC ALLIANCE CORPORATION,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=26832,Entity,IFSR; NPWMD,SDN,,strong: NPC ALLIANCE PETROCHEMICAL CO,"44th Floor Pbcom Tower Ayala Avenue, Makati, 1226, Philippines; 19th Floor Antel 2000 Corporate Center, 121 Valero St, Salcedo Village, Makati City, 1226, Philippines; PAFC Industrial Park, Barangay Batangas II, Mariveles, Bataan, 2105, Philippines",Philippines
ISIS-PHILIPPINES,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23844,Entity,FTO; SDGT,SDN,,strong: ISIS IN THE PHILIPPINES; strong: ISIL PHILIPPINES; strong: ISIL IN THE PHILIPPINES; strong: IS PHILIPPINES; weak: ISP; strong: ISLAMIC STATE IN THE PHILIPPINES; strong: ISLAMIC STATE IN IRAQ AND SYRIA IN SOUTH-EAST ASIA; strong: DAWLATUL ISLAMIYAH WALIYATUL MASRIK; weak: DIWM; strong: DAWLATUL ISLAMIYYAH WALIYATUL MASHRIQ; strong: IS EAST ASIA DIVISION; strong: ISIS PHILIPPINE PROVINCE; strong: ISIS BRANCH IN THE PHILIPPINES," Basilan, Philippines; Lanao del Sur Province, Philippines",Philippines
MAUTE GROUP,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23849,Entity,SDGT,SDN,,strong: IS-RANAO; strong: ISLAMIC STATE OF LANAO," Lanao del Sur, Philippines",Philippines
KOREA SOUTH-SOUTH COOPERATION CORPORATION,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23178,Entity,DPRK3,SDN,,strong: NAM NAM GENERAL CORPORATION; strong: NAM-NAM (SOUTH-SOUTH) COOPERATIVE GENERAL COMPANY,"Central District, Pyongyang, Korea, North; China; Russia; Poland",Poland
INTER-TRANS SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=42725,Entity,RUSSIA-EO14024,SDN,,strong: INTER-TRANS SP Z OO,"Brzeska 97, Siedlce, 08-110, Poland; lok. 211,",Poland
LA EMPRESA CUBANA DE FLETES,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=1287,Entity,CUBA,SDN,,strong: CUFLET; strong: CUBAN FREIGHT ENTERPRISE," Pyongyang, Korea, North; Moscow, Russia; Barcelona, Spain; Rostock, Germany; Genoa, Italy; Syczecin, Poland; Rotterdam, Netherlands; Mexico; Buenos Aires, Argentina; Montreal, Canada; Varna, Bulgaria",Poland
BELMAGISTRALAVTOTRANS SPEDITIONS GMBH,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=42728,Entity,RUSSIA-EO14024,SDN,,strong: BMA SPEDITION GMBH,"Justus-von-Liebig-Str. 21, Alzey, 55232, Germany; Am Fuchsbau 1, Bad Saarow, 15526, Germany; Siedlce, Poland; Smolensk, Russia; Pavlodar, Kazakhstan; Minsk, Belarus",Poland
DONCOALTRADE SP Z O O,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23579,Entity,UKRAINE-EO13660,SDN,,,"Ul. Barbary 21, Katowice, woj. Slaskie, pow. M. Katowice, 40-053, Poland",Poland
ALDAR PROPERTIES,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=33282,Entity,SDGT,SDN,,,"Al Jazira Street, Doha, Qatar; Bin Mahmoud,",Qatar
BANK SADERAT IRAN,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=10368,Entity,IFSR; IRAN; SDGT,SDN,,strong: IRAN EXPORT BANK,"PO Box 15745-631, Bank Saderat Tower, 43 Somayeh Avenue, Tehran, Iran; 16 rue de la Paix, Paris, 75002, France; Postfach 160151, Friedenstr 4, D-60311, Frankfurt am Main, Germany; PO Box 4308, 25-29 Venizelou St, Athens, Attica, GR 105 64, Greece; 3rd Floor, Aliktisad Bldg, Ras El Ein Street Baalbak, Baalbak, Lebanon; Saida Branch, Sida Riad Elsoleh St, Martyrs Sq, Saida, Lebanon; Borj Albarajneh Branch - 20 Alholom Bldg, Sahat Mreijeh, Kafaat St, Beirut, Lebanon; 1st Floor, Alrose Bldg, Verdun - Rashid Karame St, Beirut, Lebanon; PO Box 5126, Beirut, Lebanon; 3rd Floor, Mteco Centre, Mar Elias, Facing Al Hellow Barrak, POB 5126, Beirut, Lebanon; Alghobeiri Branch - Aljawhara Bldg, Ghobeiry Blvd, Beirut, Lebanon; PO Box 1269, Muscat, 112, Oman; PO Box 4425, Salwa Rd, Doha, Qatar; PO Box 2256, Doha, Qatar; 2nd Floor, No 181 Makhtoomgholi Ave, Ashgabat, Turkmenistan; PO Box 700, Abu Dhabi, United Arab Emirates; PO Box 16, Liwara Street, Ajman, United Arab Emirates; PO Box 1140, Al-Am Road, Al-Ein, Al Ain, Abu Dhabi, United Arab Emirates; Bur Dubai, Khaled Bin Al Walid St, Dubai City, United Arab Emirates; Sheikh Zayed Rd, Dubai City, United Arab Emirates; PO Box 4182, Almaktoum Rd, Dubai City, United Arab Emirates; PO Box 4182, Murshid Bazar Branch, Dubai City, United Arab Emirates; PO Box 316, Bank Saderat Bldg, Alaroda St, Borj Ave, Sharjah, United Arab Emirates; Ground Floor Business Room, Building Banke Khoon Road, Harat, Afghanistan; No. 56, Opposite of Security Department, Toraboz Khan Str., Kabul, Afghanistan; 5 Lothbury, London, EC2R 7HD, United Kingdom; Postfach 112227, Deichstrasse 11, 20459, Hamburg, Germany",Qatar
EXTERNAL CONSTRUCTION BUREAU,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23083,Entity,DPRK3,SDN,,strong: EXTERNAL CONSTRUCTION GENERAL COMPANY; strong: EXTERNAL CONSTRUCTION GUIDANCE BUREAU," Korea, North; Kuwait; Qatar; United Arab Emirates; Oman",Qatar
HURIYA PRIVATE FZE LLE,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=43083,Entity,RUSSIA-EO14024,SDN,,,"Suite 1601 Lake Central Tower, Dubai, United Arab Emirates; Business Bay, Nuschelerstrasse 31, Zurich, Switzerland; PO Box 8022, Office 1919, 19 floor, Doha, Qatar; The E18hteen Tower, Lusail, Fujairah, United Arab Emirates; Albania; Cyprus",Qatar
HYDRA MARKET,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=36216,Entity,CYBER2,SDN,,weak: HYDRA; strong: HYDRA MARKETPLACE, Russia; Region: Commonwealth of Independent States,Region: Commonwealth of Independent States
RESORT NIZHNYAYA OREANDA,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18961,Entity,UKRAINE-EO13685,SDN,,strong: FEDERALNOE GOSUDARSTVENNOE BYUDZHETNOE UCHREZHDENIE SANATORI NIZHNYAYA OREANDA UPRAVLENIYA DELAMI PREZIDENTA ROSSISKOI FE; strong: FGBU SANATORI NIZHNYAYA OREANDA; strong: SANATORIUM NIZHNYAYA OREANDA; strong: FEDERALNOE GOSUDARSTVENNOE BYUDZHETNOE UCHREZHDENIE SANATORI NIZHNYAYA OREANDA UPRAVLENIYA,"Pgt Oreanda, Dom 12, Yalta, Crimea, 298658, Ukraine; Resort Nizhnyaya Oreanda, Oreanda, Yalta, 08655, Region: Crimea; Oreanda - 12, Yalta, 298658, Region: Crimea",Region: Crimea
BUY CASH MONEY AND MONEY TRANSFER COMPANY,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=45678,Entity,SDGT,SDN,,weak: BUY CASH," Khan Yunis, Region: Gaza",Region: Gaza
AL-MARKAZIYA LI-SIARAFA,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=47001,Entity,SDGT,SDN,,strong: AL MUTAHADUN FOR EXCHANGE; strong: AL MUTAHADUN COMPANY," Region: Gaza; Aksaray Mah. Cerrahpasa Cad. Muratpasa, Istanbul, Turkey; Apt. No: 3/12, Fatih",Region: Gaza
ARAB CHINA TRADING COMPANY,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=47002,Entity,SDGT,SDN,,weak: ARAB COMPANY TO STATE TRADING; weak: ARAB TRADING COMPANY CHINA," Region: Gaza; Aksaray MAH. Cerrahpasa CAD. Muratpasa Apt. No 3/12 Fatih, Istanbul, Turkey",Region: Gaza
HERZALLAH EXCHANGE AND GENERAL TRADING COMPANY LLC,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=47128,Entity,SDGT,SDN,,strong: HERZALLAH COMPANY FOR MONEY; strong: HERZALLAH EXCHANGE AND GENERAL TRADING; strong: HERZALLAH EXCHANGE AND GENERAL TRADING COMPANY; strong: HARAZULLAH EXCHANGE AND GENERAL TRADING COMPANY LLC; strong: HERZALLAH COMPANY FOR MONEY - EXCHANGE; strong: HERZALLAH EXCHANGE COMPANY; strong: HERZALLA EXCHANGE CO.; strong: HERZALLAH EXCHANGE COMPANY AND TRANSFER, Region: Gaza,Region: Gaza
SAMIR HERZALLAH AND BROTHERS FOR MONEY EXCHANGE AND REMITTANCES,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=47129,Entity,SDGT,SDN,,strong: SAMEER ABED AL-MOEEN HERZALLAH AND HIS BROTHERS COMPANY FOR MONEY - EXCHANGE AND TRANSFERS; strong: SAMEER ABED ALMOEEN HERZALLAH AND HIS BROTHERS COMPANY FOR MONEY - EXCHANGE AND TRANSFERS; strong: SAMEER HERZALLAH FOR MONEY EXCHANGE & REMMITTANCES; strong: SAMIR HERZALLAH COMPANY; strong: SAMEER HERZALLAH AND BROTHERS CO.; strong: SAMEER HERZALLAH COMPANY; strong: SAMEER HERZALLAH BROTHERS CO; strong: SAMEER HERZALLAH AND BROTHERS CO FOR MONEY EXCHANGE AND TRANSFER; strong: SAMEER HERZALLAH FOR MONEY EXCHANGE AND REMMITTANCES, Region: Gaza,Region: Gaza
AL-ANSAR CHARITY ASSOCIATION,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=45890,Entity,SDGT,SDN,,strong: AL-ANSAR CHARITABLE SOCIETY,"Al-Nasr Street, Region: Gaza",Region: Gaza
